friday_week,source_date,price,instrument_id,raw_symbol,expiration,days_to_expiry,open_interest_x,contract_rank,log_ret_1d,log_ret_5d,log_ret_20d,vol_20d,vol_60d,roll_changed,fx_source_date,brl_per_usd,fx_log_ret_1d,fx_log_ret_5d,fx_log_ret_20d,fx_vol_20d,fx_vol_60d,market_name,position_date,open_interest_y,noncommercial_long,noncommercial_short,noncommercial_spreading,commercial_long,commercial_short,nonreportable_long,nonreportable_short,release_date,spec_net,comm_net,spec_net_pct_oi,comm_net_pct_oi,spec_z_26w,spec_z_52w,comm_z_26w,comm_z_52w,curve_source_date,rank1_price,rank1_dte,rank1_oi,rank2_price,rank2_dte,rank2_oi,rank3_price,rank3_dte,rank3_oi,rank4_price,rank4_dte,rank4_oi,rank5_price,rank5_dte,rank5_oi,rank6_price,rank6_dte,rank6_oi,cm_1m_price,cm_3m_price,cm_6m_price,spread_1_2,spread_1_3,spread_3_6,basis_cm1_spotproxy,curve_slope_1_6,curve_curvature_1_3_6,rank1_price_ret_5d,rank1_price_ret_20d,cm_3m_price_ret_5d,cm_3m_price_ret_20d,cm_6m_price_ret_5d,cm_6m_price_ret_20d,curve_slope_1_6_ret_5d,curve_slope_1_6_ret_20d,curve_curvature_1_3_6_ret_5d,curve_curvature_1_3_6_ret_20d,weather_source_date,weather_tavg_c,weather_tmax_c,weather_tmin_c,weather_precip_mm,weather_rain_mm,rain_30d,rain_7d,rain_anom_30d,tavg_anom_30d,tmin_anom_30d,rain_ratio_30d,frost_7d_flag,heat_7d_flag,fcst_rain_1_7d,fcst_rain_8_14d,fcst_rain_1_14d,fcst_tavg_1_7d,fcst_tavg_8_14d,fcst_tmin_1_7d,fcst_tmax_1_7d,fcst_cold_flag_1_7d,fcst_heat_flag_1_7d,spot_proxy_price,price_lag_1,price_lag_4,price_lag_13,price_lag_26,brl_per_usd_lag_1,brl_per_usd_lag_4,brl_per_usd_lag_13,brl_per_usd_lag_26,spec_net_lag_1,spec_net_lag_4,spec_net_lag_13,spec_net_lag_26,comm_net_lag_1,comm_net_lag_4,comm_net_lag_13,comm_net_lag_26,spec_net_pct_oi_lag_1,spec_net_pct_oi_lag_4,spec_net_pct_oi_lag_13,spec_net_pct_oi_lag_26,comm_net_pct_oi_lag_1,comm_net_pct_oi_lag_4,comm_net_pct_oi_lag_13,comm_net_pct_oi_lag_26,rain_30d_lag_1,rain_30d_lag_4,rain_30d_lag_13,rain_30d_lag_26,rain_7d_lag_1,rain_7d_lag_4,rain_7d_lag_13,rain_7d_lag_26,tavg_anom_30d_lag_1,tavg_anom_30d_lag_4,tavg_anom_30d_lag_13,tavg_anom_30d_lag_26,tmin_anom_30d_lag_1,tmin_anom_30d_lag_4,tmin_anom_30d_lag_13,tmin_anom_30d_lag_26,rain_ratio_30d_lag_1,rain_ratio_30d_lag_4,rain_ratio_30d_lag_13,rain_ratio_30d_lag_26,rank1_price_lag_1,rank1_price_lag_4,rank1_price_lag_13,rank1_price_lag_26,cm_3m_price_lag_1,cm_3m_price_lag_4,cm_3m_price_lag_13,cm_3m_price_lag_26,cm_6m_price_lag_1,cm_6m_price_lag_4,cm_6m_price_lag_13,cm_6m_price_lag_26,curve_slope_1_6_lag_1,curve_slope_1_6_lag_4,curve_slope_1_6_lag_13,curve_slope_1_6_lag_26,curve_curvature_1_3_6_lag_1,curve_curvature_1_3_6_lag_4,curve_curvature_1_3_6_lag_13,curve_curvature_1_3_6_lag_26,spot_proxy_price_lag_1,spot_proxy_price_lag_4,spot_proxy_price_lag_13,spot_proxy_price_lag_26,price_brl_per_usd_interaction,price_spec_net_interaction,price_rain_30d_interaction,rank1_price_brl_per_usd_interaction,rank1_price_spec_net_interaction,cm_3m_price_cm_6m_price_interaction,target_ret_1w,target_ret_4w,target_ret_13w,target_ret_26w
2007-08-24,2007-08-24,114.65,0,KC_LOCAL,2008-08-23,365,,1,,,,,,True,2007-08-24,1.9847,-0.004223446370479115,-0.025912179604929177,0.040408499463185706,0.018019997413409632,0.011669794365621773,COFFEE C - NEW YORK BOARD OF TRADE ,2007-08-21,159535,51208,24969,27536,51208,24969,10664,7734,2007-08-24,26239,26239,0.16447174601184694,0.16447174601184694,2.1250495707717287,1.341196000784292,2.1250495707717287,1.341196000784292,2007-08-24,114.65,365,,,,,,,,,,,,,,,,,114.65,114.65,114.65,,,0.0,0.0,0.0,0.0,,,,,,,,,,,2007-08-24,19.6,27.1,11.9,0.0,0.0,30.6,0.0,23.423809523809528,-1.3165079365079364,-0.972222222222222,4.264100862641008,0.0,0.0,,,,,,,,,,114.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227.545855,3008301.35,3508.2900000000004,227.545855,3008301.35,13144.622500000001,-0.01759834242565999,0.12488091437264032,0.07395220648727505,0.33422686675125374
2007-08-31,2007-08-31,112.65,0,KC_LOCAL,2008-08-30,365,,1,0.008021433384575305,-0.01759834242565999,,,,False,2007-08-31,1.9612,-0.007973430424813528,-0.011911238421134635,0.04196565593410175,0.018711663301077226,0.011917267935816192,COFFEE C - NEW YORK BOARD OF TRADE ,2007-08-28,153817,52508,28298,25846,52508,28298,8339,5946,2007-08-31,24210,24210,0.15739482631958757,0.15739482631958757,1.8448364290560035,1.201306092859738,1.8448364290560035,1.201306092859738,2007-08-31,112.65,365,,,,,,,,,,,,,,,,,112.65,112.65,112.65,,,0.0,0.0,0.0,0.0,-0.01759834242565999,,-0.01759834242565999,,-0.01759834242565999,,,,,,2007-08-31,20.8,26.1,15.5,0.0,0.0,0.0,0.0,-5.176190476190473,-0.6484126984126983,-1.0166666666666666,0.0,0.0,0.0,,,,,,,,,,112.65,114.65,,,,1.9847,,,,26239.0,,,,26239.0,,,,0.16447174601184694,,,,0.16447174601184694,,,,30.6,,,,0.0,,,,-1.3165079365079364,,,,-0.972222222222222,,,,4.264100862641008,,,,114.65,,,,114.65,,,,114.65,,,,0.0,,,,0.0,,,,114.65,,,,220.92918000000003,2727256.5,0.0,220.92918000000003,2727256.5,12690.022500000001,0.009717390952806292,0.13280987184949966,0.11159933592036579,0.3792326213647159
2007-09-07,2007-09-07,113.75,0,KC_LOCAL,2008-09-06,365,,1,0.0017597892794923103,0.01773882433738163,,,,False,2007-09-06,1.9537,-0.0048507843590571975,-0.011804950604301962,0.018285633455297684,0.017975672480896914,0.0118724173254369,COFFEE C - ICE FUTURES U.S. ,2007-09-04,158302,52846,32340,26616,52846,32340,10472,7637,2007-09-07,20506,20506,0.12953721368018092,0.12953721368018092,1.299364188420316,0.8026005093419497,1.299364188420316,0.8026005093419497,2007-09-07,113.75,365,,,,,,,,,,,,,,,,,113.75,113.75,113.75,,,0.0,0.0,0.0,0.0,0.01773882433738163,,0.01773882433738163,,0.01773882433738163,,,,,,2007-09-07,21.7,27.6,14.3,0.0,0.0,0.0,0.0,-9.161904761904758,-0.4930158730158729,-0.7204761904761903,0.0,0.0,0.0,,,,,,,,,,113.75,112.65,,,,1.9612,,,,24210.0,,,,24210.0,,,,0.15739482631958757,,,,0.15739482631958757,,,,0.0,,,,0.0,,,,-0.6484126984126983,,,,-1.0166666666666666,,,,0.0,,,,112.65,,,,112.65,,,,112.65,,,,0.0,,,,0.0,,,,112.65,,,,222.233375,2332557.5,0.0,222.233375,2332557.5,12939.0625,0.03710520570046217,0.18597786799706506,0.11607217125275403,0.26826398659467937
2007-09-14,2007-09-14,118.05,0,KC_LOCAL,2008-09-13,365,,1,0.01579541911371108,0.03710520570046217,,,,False,2007-09-14,1.9023,0.002104931577599485,-0.026661330223494154,-0.10438227357536553,0.010927992711607385,0.012006966585106832,COFFEE C - ICE FUTURES U.S. ,2007-09-11,158880,54679,34421,27629,54679,34421,9542,6654,2007-09-14,20258,20258,0.1275050352467271,0.1275050352467271,1.1809765527547944,0.7457618325985397,1.1809765527547944,0.7457618325985397,2007-09-14,118.05,365,,,,,,,,,,,,,,,,,118.05,118.05,118.05,,,0.0,0.0,0.0,0.0,0.03710520570046217,,0.03710520570046217,,0.03710520570046217,,,,,,2007-09-14,22.1,28.6,15.2,0.0,0.0,0.0,0.0,-11.747619047619043,-0.6706349206349206,-1.1376190476190475,0.0,0.0,0.0,,,,,,,,,,118.05,113.75,,,,1.9537,,,,20506.0,,,,20506.0,,,,0.12953721368018092,,,,0.12953721368018092,,,,0.0,,,,0.0,,,,-0.4930158730158729,,,,-0.7204761904761903,,,,0.0,,,,113.75,,,,113.75,,,,113.75,,,,0.0,,,,0.0,,,,113.75,,,,224.566515,2391456.9,0.0,224.566515,2391456.9,13935.8025,0.09565666014503207,0.16552161725423822,0.1021788394135103,0.23986030835485422
2007-09-21,2007-09-21,129.9,0,KC_LOCAL,2008-09-20,365,,1,-0.02471138858338739,0.09565666014503207,,,,False,2007-09-21,1.861,-0.0010204356534121314,-0.02194970273184493,-0.0685772379264413,0.008499979327650899,0.012095983223782449,COFFEE C - ICE FUTURES U.S. ,2007-09-18,161055,58933,28385,25609,58933,28385,10740,7748,2007-09-21,30548,30548,0.1896743348545528,0.1896743348545528,1.9114429671537325,1.5147472750112823,1.9114429671537325,1.5147472750112823,2007-09-21,129.9,365,,,,,,,,,,,,,,,,,129.9,129.9,129.9,,,0.0,0.0,0.0,0.0,0.09565666014503207,,0.09565666014503207,,0.09565666014503207,,,,,,2007-09-21,25.1,31.7,18.2,0.0,0.0,0.0,0.0,-15.876190476190473,-0.17253968253968222,-0.7357142857142857,0.0,0.0,0.0,,,,,,,,,,129.9,118.05,114.65,,,1.9023,1.9847,,,20258.0,26239.0,,,20258.0,26239.0,,,0.1275050352467271,0.16447174601184694,,,0.1275050352467271,0.16447174601184694,,,0.0,30.6,,,0.0,0.0,,,-0.6706349206349206,-1.3165079365079364,,,-1.1376190476190475,-0.972222222222222,,,0.0,4.264100862641008,,,118.05,114.65,,,118.05,114.65,,,118.05,114.65,,,0.0,0.0,,,0.0,0.0,,,118.05,114.65,,,241.7439,3968185.2,0.0,241.7439,3968185.2,16874.010000000002,-0.009669384948800635,-0.03845118637425283,0.032566300861027506,0.007668749239300357
2007-09-28,2007-09-28,128.65,0,KC_LOCAL,2008-09-27,365,,1,-0.0011652749425001567,-0.009669384948800635,0.14083130523407497,0.020631964517046478,,False,2007-09-28,1.8381,-0.0010874885526100928,-0.01238154824253211,-0.07279753180217308,0.006254415815517243,0.012146337216225971,COFFEE C - ICE FUTURES U.S. ,2007-09-25,168146,61413,24818,26964,61413,24818,11811,7474,2007-09-28,36595,36595,0.21763824295552675,0.21763824295552675,2.02632541025291,1.7981423666211982,2.02632541025291,1.7981423666211982,2007-09-28,128.65,365,,,,,,,,,,,,,,,,,128.65,128.65,128.65,,,0.0,0.0,0.0,0.0,-0.009669384948800635,0.14083130523407497,-0.009669384948800635,0.14083130523407497,-0.009669384948800635,0.14083130523407497,,,,,2007-09-28,23.4,30.2,17.3,0.0,0.0,0.0,0.0,-29.147619047619045,-0.05857142857142842,-0.4430158730158729,0.0,0.0,1.0,,,,,,,,,,128.65,129.9,112.65,,,1.861,1.9612,,,30548.0,24210.0,,,30548.0,24210.0,,,0.1896743348545528,0.15739482631958757,,,0.1896743348545528,0.15739482631958757,,,0.0,0.0,,,0.0,0.0,,,-0.17253968253968222,-0.6484126984126983,,,-0.7357142857142857,-1.0166666666666666,,,0.0,0.0,,,129.9,112.65,,,129.9,112.65,,,129.9,112.65,,,0.0,0.0,,,0.0,0.0,,,129.9,112.65,,,236.47156500000003,4707946.75,0.0,236.47156500000003,4707946.75,16550.822500000002,0.06288538710037173,-0.057592883279571676,0.03400518667331259,0.0135111107647993
2007-10-05,2007-10-05,137.0,0,KC_LOCAL,2008-10-04,365,,1,0.013225762219261321,0.06288538710037173,0.18597786799706506,0.021917933577251143,,False,2007-10-05,1.8084,-0.010561154268666344,-0.016289952979268572,-0.07728253417713975,0.006373955836492827,0.012211741121224124,COFFEE C - ICE FUTURES U.S. ,2007-10-02,170840,63401,24583,27665,63401,24583,10855,5129,2007-10-05,38818,38818,0.22721845001170687,0.22721845001170687,1.9015817547238265,1.8292978741126678,1.9015817547238265,1.8292978741126678,2007-10-05,137.0,365,,,,,,,,,,,,,,,,,137.0,137.0,137.0,,,0.0,0.0,0.0,0.0,0.06288538710037173,0.18597786799706506,0.06288538710037173,0.18597786799706506,0.06288538710037173,0.18597786799706506,,,,,2007-10-05,23.3,30.0,16.9,0.0,0.0,12.800000000000004,12.800000000000004,-32.5047619047619,-0.25968253968253946,-0.7777777777777782,0.28253100693714533,0.0,0.0,,,,,,,,,,137.0,128.65,113.75,,,1.8381,1.9537,,,36595.0,20506.0,,,36595.0,20506.0,,,0.21763824295552675,0.12953721368018092,,,0.21763824295552675,0.12953721368018092,,,0.0,0.0,,,0.0,0.0,,,-0.05857142857142842,-0.4930158730158729,,,-0.4430158730158729,-0.7204761904761903,,,0.0,0.0,,,128.65,113.75,,,128.65,113.75,,,128.65,113.75,,,0.0,0.0,,,0.0,0.0,,,128.65,113.75,,,247.7508,5318066.0,1753.6000000000006,247.7508,5318066.0,18769.0,0.016648954957635093,-0.14169812213138866,-0.03188998448996318,-0.03793686610485592
2007-10-12,2007-10-12,139.3,0,KC_LOCAL,2008-10-11,365,,1,0.0075662403833158766,0.016648954957635093,0.16552161725423822,0.024243497032714754,,False,2007-10-11,1.7912,-0.0071206353380239935,-0.02011784440457136,-0.05807296251195127,0.005670059096133055,0.012240465260418906,COFFEE C - ICE FUTURES U.S. ,2007-10-09,176866,66836,24618,29408,66836,24618,11374,6456,2007-10-12,42218,42218,0.23870048511302341,0.23870048511302341,1.8169033263729437,1.8820967002241176,1.8169033263729437,1.8820967002241176,2007-10-12,139.3,365,,,,,,,,,,,,,,,,,139.3,139.3,139.3,,,0.0,0.0,0.0,0.0,0.016648954957635093,0.16552161725423822,0.016648954957635093,0.16552161725423822,0.016648954957635093,0.16552161725423822,,,,,2007-10-12,24.5,32.3,17.3,0.0,0.0,13.100000000000003,0.3000000000000036,-45.44761904761904,0.14793650793650812,-0.6238095238095239,0.2237494916632778,0.0,0.0,,,,,,,,,,139.3,137.0,118.05,,,1.8084,1.9023,,,38818.0,20258.0,,,38818.0,20258.0,,,0.22721845001170687,0.1275050352467271,,,0.22721845001170687,0.1275050352467271,,,12.800000000000004,0.0,,,12.800000000000004,0.0,,,-0.25968253968253946,-0.6706349206349206,,,-0.7777777777777782,-1.1376190476190475,,,0.28253100693714533,0.0,,,137.0,118.05,,,137.0,118.05,,,137.0,118.05,,,0.0,0.0,,,0.0,0.0,,,137.0,118.05,,,249.51416,5880967.4,1824.8300000000006,249.51416,5880967.4,19404.49,-0.108316143483459,-0.13466011882306092,-0.021771542083273133,-0.06257825180960527
2007-10-19,2007-10-19,125.0,0,KC_LOCAL,2008-10-18,365,,1,-0.003194890896519288,-0.108316143483459,-0.03845118637425283,0.026196889696255235,,False,2007-10-19,1.7956,-0.0059413262307348004,0.0024534416232321137,-0.03679518538788578,0.005425949254754262,0.012296467718078035,COFFEE C - ICE FUTURES U.S. ,2007-10-16,176688,70270,23009,28234,70270,23009,11822,6674,2007-10-19,47261,47261,0.2674827945304718,0.2674827945304718,1.8983343106442239,2.1352027436673984,1.8983343106442239,2.1352027436673984,2007-10-19,125.0,365,,,,,,,,,,,,,,,,,125.0,125.0,125.0,,,0.0,0.0,0.0,0.0,-0.108316143483459,-0.03845118637425283,-0.108316143483459,-0.03845118637425283,-0.108316143483459,-0.03845118637425283,,,,,2007-10-19,23.2,29.7,19.2,6.4,6.4,20.400000000000006,7.300000000000004,-54.92857142857143,0.5465079365079365,-0.20777777777777803,0.2708135786080031,0.0,1.0,,,,,,,,,,125.0,139.3,129.9,,,1.7912,1.861,,,42218.0,30548.0,,,42218.0,30548.0,,,0.23870048511302341,0.1896743348545528,,,0.23870048511302341,0.1896743348545528,,,13.100000000000003,0.0,,,0.3000000000000036,0.0,,,0.14793650793650812,-0.17253968253968222,,,-0.6238095238095239,-0.7357142857142857,,,0.2237494916632778,0.0,,,139.3,129.9,,,139.3,129.9,,,139.3,129.9,,,0.0,0.0,,,0.0,0.0,,,139.3,129.9,,,224.45000000000002,5907625.0,2550.000000000001,224.45000000000002,5907625.0,15625.0,-0.0288110818541196,-0.0008003201707690441,0.06278698809876479,0.07881118042428985
2007-10-26,2007-10-26,121.45,0,KC_LOCAL,2008-10-25,365,,1,0.007023371155096487,-0.0288110818541196,-0.057592883279571676,0.025270553961876094,,False,2007-10-26,1.7744,-0.008082666364677431,-0.011876890311674578,-0.03635758035622616,0.006600909418419452,0.012061552093029398,COFFEE C - ICE FUTURES U.S. ,2007-10-23,172511,66331,20741,28577,66331,20741,10138,5447,2007-10-26,45590,45590,0.2642730028809757,0.2642730028809757,1.6811954685472088,1.9817113207504147,1.6811954685472088,1.9817113207504147,2007-10-26,121.45,365,,,,,,,,,,,,,,,,,121.45,121.45,121.45,,,0.0,0.0,0.0,0.0,-0.0288110818541196,-0.057592883279571676,-0.0288110818541196,-0.057592883279571676,-0.0288110818541196,-0.057592883279571676,,,,,2007-10-26,21.0,26.4,17.8,1.7,1.7,43.7,23.3,-48.96666666666667,0.16222222222222213,-0.16952380952380963,0.47158273381294963,0.0,0.0,,,,,,,,,,121.45,125.0,128.65,,,1.7956,1.8381,,,47261.0,36595.0,,,47261.0,36595.0,,,0.2674827945304718,0.21763824295552675,,,0.2674827945304718,0.21763824295552675,,,20.400000000000006,0.0,,,7.300000000000004,0.0,,,0.5465079365079365,-0.05857142857142842,,,-0.20777777777777803,-0.4430158730158729,,,0.2708135786080031,0.0,,,125.0,128.65,,,125.0,128.65,,,125.0,128.65,,,0.0,0.0,,,0.0,0.0,,,125.0,128.65,,,215.50088,5536905.5,5307.365000000001,215.50088,5536905.5,14750.1025,-0.021219851751445327,0.016333560343006915,0.0791238957277087,0.07148735613455576
